graph, size, connectivity, algorithm, repetition, failures, stretch, load, hops, success, cc_size,routing_time, precomputation_time
#Sat Mar  1 17:33:25 2025
2, 23, 1, Outerplanar, 0, 4, 12, 0, 13, 0.750000, 23, 0.000922, 0.015957
2, 23, 1, EdgeDisjointPaths, 0, 4, 4, 0, 10, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 1, 4, 23, 0, 24, 0.750000, 23, 0.000806, 0.029285
2, 23, 1, EdgeDisjointPaths, 1, 4, 6, 0, 13, 0.950000, 23, 0.000820, 0.000000
2, 23, 1, Outerplanar, 2, 4, 11, 0, 13, 0.750000, 23, 0.000808, 0.015744
2, 23, 1, EdgeDisjointPaths, 2, 4, 3, 0, 8, 0.900000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 3, 4, 21, 0, 24, 0.750000, 23, 0.000799, 0.025320
2, 23, 1, EdgeDisjointPaths, 3, 4, 1, 0, 6, 0.900000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 4, 4, 23, 0, 25, 0.750000, 23, 0.000791, 0.015725
2, 23, 1, EdgeDisjointPaths, 4, 4, 6, 0, 12, 0.950000, 23, 0.000806, 0.000000
2, 23, 1, Outerplanar, 5, 4, 23, 0, 25, 0.750000, 23, 0.000807, 0.016199
2, 23, 1, EdgeDisjointPaths, 5, 4, 6, 0, 12, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 6, 4, 25, 0, 26, 0.750000, 23, 0.000801, 0.016240
2, 23, 1, EdgeDisjointPaths, 6, 4, 6, 0, 13, 0.950000, 23, 0.000820, 0.000000
2, 23, 1, Outerplanar, 7, 4, 25, 0, 26, 0.750000, 23, 0.000814, 0.016050
2, 23, 1, EdgeDisjointPaths, 7, 4, 6, 0, 12, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 8, 4, 21, 0, 22, 0.750000, 23, 0.000810, 0.016036
2, 23, 1, EdgeDisjointPaths, 8, 4, 8, 0, 13, 0.950000, 23, 0.000191, 0.000000
2, 23, 1, Outerplanar, 9, 4, 21, 0, 23, 0.750000, 23, 0.000792, 0.011918
2, 23, 1, EdgeDisjointPaths, 9, 4, 4, 0, 8, 0.550000, 23, 0.000790, 0.000000
2, 23, 1, Outerplanar, 10, 4, 16, 0, 17, 0.750000, 23, 0.000805, 0.016017
2, 23, 1, EdgeDisjointPaths, 10, 4, 0, 0, 4, 0.900000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 11, 4, 18, 0, 21, 0.750000, 23, 0.000802, 0.015722
2, 23, 1, EdgeDisjointPaths, 11, 4, 4, 0, 9, 0.950000, 23, 0.000818, 0.000000
2, 23, 1, Outerplanar, 12, 4, 21, 0, 24, 0.750000, 23, 0.000500, 0.022107
2, 23, 1, EdgeDisjointPaths, 12, 4, 4, 0, 13, 0.450000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 13, 4, 18, 0, 20, 0.750000, 23, 0.000783, 0.031627
2, 23, 1, EdgeDisjointPaths, 13, 4, 2, 0, 7, 0.900000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 14, 4, 23, 0, 25, 0.750000, 23, 0.001341, 0.016140
2, 23, 1, EdgeDisjointPaths, 14, 4, 2, 0, 7, 0.900000, 23, 0.000284, 0.000000
2, 23, 1, Outerplanar, 15, 4, 6, 0, 7, 0.200000, 23, 0.000786, 0.016149
2, 23, 1, EdgeDisjointPaths, 15, 4, 7, 0, 12, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 16, 4, 2, 0, 3, 0.200000, 23, 0.000798, 0.031667
2, 23, 1, EdgeDisjointPaths, 16, 4, 4, 0, 11, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 17, 4, 6, 0, 8, 0.200000, 23, 0.000782, 0.015951
2, 23, 1, EdgeDisjointPaths, 17, 4, 0, 0, 6, 0.450000, 23, 0.000787, 0.000000
2, 23, 1, Outerplanar, 18, 4, 2, 0, 4, 0.200000, 23, 0.000800, 0.015773
2, 23, 1, EdgeDisjointPaths, 18, 4, 9, 0, 13, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 19, 4, 8, 0, 9, 0.200000, 23, 0.000793, 0.031574
2, 23, 1, EdgeDisjointPaths, 19, 4, 2, 0, 8, 0.850000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 20, 4, 19, 0, 23, 0.750000, 23, 0.000805, 0.015688
2, 23, 1, EdgeDisjointPaths, 20, 4, 1, 0, 5, 0.900000, 23, 0.000814, 0.000000
2, 23, 1, Outerplanar, 21, 4, 25, 0, 26, 0.750000, 23, 0.000486, 0.022361
2, 23, 1, EdgeDisjointPaths, 21, 4, 4, 0, 8, 0.550000, 23, 0.000442, 0.000000
2, 23, 1, Outerplanar, 22, 4, 2, 0, 6, 0.200000, 23, 0.000805, 0.007019
2, 23, 1, EdgeDisjointPaths, 22, 4, 6, 0, 10, 0.900000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 23, 4, 12, 0, 13, 0.750000, 23, 0.000798, 0.015955
2, 23, 1, EdgeDisjointPaths, 23, 4, 4, 0, 10, 0.950000, 23, 0.000786, 0.000000
2, 23, 1, Outerplanar, 24, 4, 23, 0, 24, 0.750000, 23, 0.000803, 0.015732
2, 23, 1, EdgeDisjointPaths, 24, 4, 6, 0, 13, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 25, 4, 11, 0, 13, 0.750000, 23, 0.000810, 0.015853
2, 23, 1, EdgeDisjointPaths, 25, 4, 3, 0, 8, 0.900000, 23, 0.000800, 0.000000
2, 23, 1, Outerplanar, 26, 4, 21, 0, 24, 0.750000, 23, 0.000864, 0.016359
2, 23, 1, EdgeDisjointPaths, 26, 4, 1, 0, 6, 0.900000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 27, 4, 23, 0, 25, 0.750000, 23, 0.000784, 0.030775
2, 23, 1, EdgeDisjointPaths, 27, 4, 6, 0, 12, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 28, 4, 23, 0, 25, 0.750000, 23, 0.000790, 0.015853
2, 23, 1, EdgeDisjointPaths, 28, 4, 6, 0, 12, 0.950000, 23, 0.000819, 0.000000
2, 23, 1, Outerplanar, 29, 4, 25, 0, 26, 0.750000, 23, 0.000803, 0.016273
2, 23, 1, EdgeDisjointPaths, 29, 4, 6, 0, 13, 0.950000, 23, 0.000810, 0.000000
2, 23, 1, Outerplanar, 30, 4, 25, 0, 26, 0.750000, 23, 0.000815, 0.015923
2, 23, 1, EdgeDisjointPaths, 30, 4, 6, 0, 12, 0.950000, 23, 0.000803, 0.000000
2, 23, 1, Outerplanar, 31, 4, 21, 0, 22, 0.750000, 23, 0.000785, 0.015956
2, 23, 1, EdgeDisjointPaths, 31, 4, 8, 0, 13, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 32, 4, 21, 0, 23, 0.750000, 23, 0.000799, 0.016046
2, 23, 1, EdgeDisjointPaths, 32, 4, 4, 0, 8, 0.550000, 23, 0.000242, 0.000000
2, 23, 1, Outerplanar, 33, 4, 16, 0, 17, 0.750000, 23, 0.000804, 0.020483
2, 23, 1, EdgeDisjointPaths, 33, 4, 0, 0, 4, 0.900000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 34, 4, 18, 0, 21, 0.750000, 23, 0.000787, 0.015685
2, 23, 1, EdgeDisjointPaths, 34, 4, 4, 0, 9, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 35, 4, 21, 0, 24, 0.750000, 23, 0.000991, 0.015996
2, 23, 1, EdgeDisjointPaths, 35, 4, 4, 0, 13, 0.450000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 36, 4, 18, 0, 20, 0.750000, 23, 0.000798, 0.028464
2, 23, 1, EdgeDisjointPaths, 36, 4, 2, 0, 7, 0.900000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 37, 4, 23, 0, 25, 0.750000, 23, 0.000794, 0.016304
2, 23, 1, EdgeDisjointPaths, 37, 4, 2, 0, 7, 0.900000, 23, 0.000798, 0.000000
2, 23, 1, Outerplanar, 38, 4, 6, 0, 7, 0.200000, 23, 0.000801, 0.016392
